code,name,A,B,C,D,E,F
600611,大众交通,1081471482,23344496,17621221,47400,8000,0
600614,鼎立股份,740677698,115768115,118665198,0,0,0
600616,金枫酒业,394261081,4504033,8017220,0,0,0
600620,天宸股份,659105423,200579984,152397361,84950,40000,0
600624,复旦复华,572190734,18052889,12434899,0,0,0
600626,申达股份,885374441,23878266,31950175,0,0,0
600633,浙报传媒,670855658,11247647,14872514,30968,500,14300
600635,大众公用,1139454264,15805086,29941364,56100,0,50000
600636,三爱富,362485351,0,1244014,0,0,0
600637,东方明珠,1460733049,41133116,55151111,74400,14800,45500
600639,浦东金桥,558190325,12112833,11422154,49900,0,0
600640,号百控股,689626746,60217174,64966253,74200,20000,95600
600642,申能股份,635514649,3882004,3519574,85099,8800,0
600643,爱建集团,1187116060,79593941,79489519,30029,30000,0
600645,中源协和,1412884556,76571540,61783289,9700,6500,0
600648,外高桥,851864460,7994441,5777901,40000,400,200
600649,城投控股,1665487114,0,3281713,29000,0,0
600651,飞乐音响,578933921,45288524,26592579,200,0,0
600652,游久游戏,927233215,24483867,17479740,63000,0,0
600653,申华控股,526568716,33926809,20583794,0,0,0
600654,中安消,1994925297,135883490,132403932,20000,0,0
600655,豫园商城,683184149,11989956,14850118,117000,24400,600
600660,福耀玻璃,661066997,38769949,36959555,116100,800,13900
600661,新南洋,263119613,21030867,27723394,35200,5900,0
600662,强生控股,1004379029,42975666,42528900,20000,0,0
600663,陆家嘴,765063225,12397976,16836528,352460,17700,7600
600664,哈药股份,376151547,8191215,6345160,28790,4000,26000
600667,太极实业,805501345,21672604,28026555,0,0,0
600668,尖峰集团,648948813,10952484,16418762,3000,3000,0
600673,东阳光科,1345208905,12964502,13621593,50000,0,0
600674,川投能源,967054947,19609245,18312106,78600,7600,5000
600677,航天通信,742277692,36311151,51554275,3000,3000,0
600680,上海普天,249245528,6598828,7639266,13400,0,0
600684,珠江实业,636228313,27135646,24937396,21400,6000,0
600688,上海石化,752826627,24482265,33923206,572875,38800,86400
600690,青岛海尔,796374419,30159942,19545501,511325,10500,6500
600692,亚通股份,693752851,31219671,23351818,1200,0,1500
600694,大商股份,1061980967,32098866,54987577,4600,0,0
600696,匹凸匹,523214026,73207289,59518700,155000,0,55000
600699,均胜电子,1091554168,50129036,73311516,0,0,0
600702,沱牌舍得,584083429,13915450,18324186,23200,20000,0
600703,三安光电,1208977057,27075959,25908946,149033,98192,16000
600704,物产中大,1195124456,188567435,185580883,101400,60800,9500
600705,中航资本,3153941727,120958216,129148252,1305900,80000,0
600707,彩虹股份,671199487,25738960,19353839,0,0,0
