name,ticktime,price,volume,prev_price,kind
江南化工,15:00:20,9.26,377300,9.25,E
奥 特 迅,15:00:20,43.92,294300,43.92,U
科大讯飞,15:00:20,37.37,356264,37.37,U
塔牌集团,15:00:20,14.55,469300,14.55,D
恒邦股份,15:00:20,10.21,405300,10.2,E
天威视讯,15:00:20,23.1,132040,23.1,E
九阳股份,15:00:20,22.09,368200,22.09,E
滨江集团,15:00:20,8.57,756800,8.57,D
大洋电机,15:00:20,12.98,409106,12.97,E
上海莱士,15:00:20,40.1,109850,40.1,E
升达林业,15:00:20,9.33,220200,9.32,U
拓维信息,15:00:20,41.31,253018,41.31,E
陕天然气,15:00:20,12.67,249066,12.65,U
东方雨虹,15:00:20,21.22,296200,21.21,E
华昌化工,15:00:20,13.99,916600,13.99,U
友阿股份,15:00:20,13.98,332000,13.98,E
久其软件,15:00:20,77.5,136461,77.48,E
联络互动,15:00:20,59.65,424250,59.65,E
光迅科技,15:00:20,68.44,168235,68.44,D
天润曲轴,15:00:20,22.42,213720,22.42,D
世联行,15:00:20,17.61,327700,17.63,E
罗莱家纺,15:00:20,19.4,308900,19.39,E
精艺股份,15:00:20,20.45,379659,20.45,E
辉煌科技,15:00:20,20.88,220464,20.88,E
齐心集团,15:00:20,24.22,239757,24.22,E
美盈森,15:00:20,14.32,557800,14.31,E
南国置业,15:00:20,6.45,321100,6.44,U
北新路桥,15:00:20,11.51,282900,11.51,E
海大集团,15:00:20,14.28,193000,14.28,U
乐通股份,15:00:20,23.32,702600,23.31,E
华英农业,15:00:20,12.29,415000,12.29,U
永太科技,15:00:20,23.51,505532,23.51,E
英威腾,15:00:20,11.45,369700,11.44,E
赛象科技,15:00:20,10.57,490500,10.57,E
巨力索具,15:00:20,7.51,369700,7.51,E
禾欣股份,15:00:20,77.01,315900,77.0,E
海宁皮城,15:00:20,17.17,459900,17.14,E
杰瑞股份,15:00:20,25.57,356968,25.56,E
天神娱乐,15:00:20,117.5,87300,117.36,E
浩宁达,15:00:20,28.64,104200,28.64,D
富临运业,15:00:20,16.71,177800,16.7,U
齐星铁塔,15:00:20,32.52,204300,32.52,E
神剑股份,15:00:20,17.94,153600,17.94,E
汉王科技,15:00:20,33.58,874400,33.58,E
中恒电气,15:00:20,30.82,251600,30.81,E
康力电梯,15:00:20,17.19,202050,17.18,E
