name,ticktime,price,volume,prev_price,kind
胜宏科技,15:00:23,59.05,53400,59.04,E
濮阳惠成,15:00:23,57.27,45860,57.22,E
平安银行,15:00:20,12.07,920684,12.06,E
国农科技,15:00:20,46.88,39300,46.89,E
深振业Ａ,15:00:20,11.48,410344,11.49,E
神州高铁,15:00:20,11.8,451500,11.8,E
中国宝安,15:00:20,18.19,1016672,18.19,E
深物业A,15:00:20,14.95,99100,14.94,E
南  玻Ａ,15:00:20,12.06,1259100,12.06,E
沙河股份,15:00:20,22.0,228500,21.89,E
深康佳Ａ,15:00:20,7.46,1104408,7.45,E
深中华A,15:00:20,14.85,242950,14.84,E
深科技,15:00:20,12.85,575496,12.85,E
深赤湾Ａ,15:00:20,19.78,119660,19.79,E
特  力Ａ,15:00:20,92.0,295352,92.0,E
深深房Ａ,15:00:20,13.73,324750,13.72,E
富奥股份,15:00:20,9.46,109600,9.46,E
中粮地产,15:00:20,14.73,734800,14.73,E
深桑达Ａ,15:00:20,25.1,85300,25.09,E
深信泰丰,15:00:20,22.41,200868,22.42,E
华联控股,15:00:20,7.85,222348,7.84,E
深南电Ａ,15:00:20,12.89,298119,12.88,E
中集集团,15:00:20,20.73,243760,20.73,D
宝安地产,15:00:20,15.68,142000,15.68,E
中洲控股,15:00:20,21.6,361500,21.5,E
深纺织Ａ,15:00:20,14.65,257500,14.68,D
泛海控股,15:00:20,12.47,145400,12.46,E
德赛电池,15:00:20,61.09,96700,61.09,E
农 产 品,15:00:20,18.32,792176,18.31,E
深圳华强,15:00:20,39.83,181450,39.82,E
中兴通讯,15:00:20,18.63,587600,18.63,E
*ST华赛,15:00:20,12.1,116800,12.09,U
特发信息,15:00:20,27.99,72500,27.99,U
海王生物,15:00:20,20.21,409180,20.2,E
盐 田 港,15:00:20,8.39,159100,8.39,U
深圳机场,15:00:20,8.28,269601,8.28,U
天健集团,15:00:20,18.85,122763,18.84,E
广聚能源,15:00:20,17.34,225300,17.34,E
中信海直,15:00:20,15.47,382776,15.44,E
TCL 集团,15:00:20,4.13,3004896,4.13,E
宜华健康,15:00:20,37.8,42300,37.8,U
中成股份,15:00:20,25.35,151500,25.34,U
华数传媒,15:00:20,36.18,246472,36.18,E
中联重科,15:00:20,5.45,1478504,5.43,E
常山股份,15:00:20,19.75,288700,19.75,E
国际实业,15:00:20,8.81,212100,8.81,E
申万宏源,15:00:20,11.02,700304,11.02,E
东方市场,15:00:20,6.25,257000,6.24,E
美的集团,15:00:20,30.18,189300,30.18,E
潍柴动力,15:00:20,9.9,476204,9.9,U
许继电气,15:00:20,19.67,286100,19.66,E
冀东水泥,15:00:20,12.14,344728,12.13,E
华意压缩,15:00:20,9.88,287700,9.88,E
胜利股份,15:00:20,7.85,665700,7.85,E
山东地矿,15:00:20,10.02,505060,10.0,E
沈阳机床,15:00:20,25.89,852476,25.88,E
东旭光电,15:00:20,9.61,1091404,9.61,E
渤海租赁,15:00:20,8.82,230200,8.81,E
合肥百货,15:00:20,10.64,333500,10.64,E
吉林化纤,15:00:20,7.79,228584,7.78,U
南京中北,15:00:20,9.15,108300,9.15,U
湖北宜化,15:00:20,7.74,275572,7.74,E
东阿阿胶,15:00:20,50.43,152606,50.43,E
徐工机械,15:00:20,4.37,1527896,4.36,E
粤高速Ａ,15:00:20,6.78,456500,6.78,E
晨鸣纸业,15:00:20,8.99,172100,8.99,E
山东路桥,15:00:20,7.74,581900,7.74,E
鄂武商Ａ,15:00:20,20.44,79300,20.44,D
绿景控股,15:00:20,37.2,101800,37.2,U
海虹控股,15:00:20,33.55,470460,33.54,E
南华生物,15:00:20,26.65,93000,26.65,E
珠江控股,15:00:20,10.76,148200,10.76,E
中润资源,15:00:20,9.21,394820,9.21,E
华塑控股,15:00:20,9.19,246200,9.2,E
*ST金路,15:00:20,8.56,152500,8.56,E
丽珠集团,15:00:20,51.18,50800,51.18,E
渝 开 发,15:00:20,9.82,454000,9.83,E
国际医学,15:00:20,20.37,606900,20.36,E
荣安地产,15:00:20,7.14,601700,7.13,U
四环生物,15:00:20,7.18,607704,7.18,D
美菱电器,15:00:20,7.34,132500,7.35,E
广州浪奇,15:00:20,15.17,132100,15.12,E
岭南控股,15:00:20,18.7,65800,18.71,E
红 太 阳,15:00:20,17.49,108900,17.52,D
大冷股份,15:00:20,17.91,114788,17.91,E
力合股份,15:00:20,23.39,205500,23.4,E
万 家 乐,15:00:20,9.13,607548,9.12,E
