code,name,trade,percent,category,tilte1,tilte2
000529,广弘控股,11.21,-2.011,地方国资改革;广东国资改革;粤港澳自贸区,,
000570,苏常柴A,9.71,-2.018,地方国资改革;金改;江苏沿海发展,,
600853,龙建股份,6.79,-2.020,地方国资改革;PPP概念;振兴东北,,
600268,国电南自,9.16,-2.032,央企国资改革;有轨电车;充电桩,,
603099,长白山,19.69,-2.040,央企国资改革;冬奥会,,
600082,海泰发展,7.66,-2.046,地方国资改革;京津冀一体化;参股新三板,,
600272,开开实业,19.07,-2.054,地方国资改革;上海国资改革;生物医药,,
002682,龙洲股份,14.09,-2.085,地方国资改革;油品改革;职业教育,,
600971,恒源煤电,6.51,-2.105,地方国资改革;融资融券;动力煤,,
002189,利达光电,24.64,-2.106,央企国资改革;3D玻璃;机器视觉,,
600469,风神股份,11.62,-2.106,央企国资改革;绿色轮胎;轮胎利好,,
000026,飞亚达A,15.30,-2.111,央企国资改革;央企整合;军工,,
600650,锦江投资,23.19,-2.111,地方国资改革;上海国资改革;冷链物流,,
600980,北矿科技,24.54,-2.114,央企国资改革;国资整合;央企整合,,
000589,黔轮胎A,6.01,-2.117,地方国资改革;轮胎利好;橡胶,,
600686,金龙汽车,14.62,-2.142,地方国资改革;国开行;融资融券,,
600806,*ST昆机,7.68,-2.166,地方国资改革;高校;机床制造,,
600581,*ST八钢,6.76,-2.171,央企国资改革;新疆振兴;新疆自贸区,,
000851,高鸿股份,12.47,-2.196,央企国资改革;央企整合;央企控股,,
000701,厦门信达,15.56,-2.200,地方国资改革;电子信息;电子车牌,,
600761,安徽合力,12.89,-2.200,地方国资改革;融资融券;沪港通概念,,
600108,亚盛集团,5.77,-2.203,地方国资改革;农垦改革;融资融券,,
600723,首商股份,9.75,-2.207,地方国资改革;保险重仓;老字号,,
600543,莫高股份,14.91,-2.230,地方国资改革;融资融券;转融券标的,,
002523,天桥起重,6.97,-2.244,地方国资改革;湖南国资改革;智慧停车,,
300330,华虹计通,18.73,-2.244,地方国资改革;上海国资改革;安检设备,,
600121,郑州煤电,5.50,-2.309,地方国资改革;稀缺资源;动力煤,,
600621,华鑫股份,14.38,-2.310,地方国资改革;上海国资改革;金改,,
000099,中信海直,12.25,-2.313,央企国资改革;融资融券;转融券标的,,
600113,浙江东日,21.52,-2.315,地方国资改革;金改;义乌金改,,
002393,力生制药,40.80,-2.322,地方国资改革;融资融券;核污染防治,,
000721,西安饮食,9.19,-2.338,地方国资改革;收入改革;职业教育,,
600523,贵航股份,23.97,-2.363,央企国资改革;国资整合;央企整合,,
600609,金杯汽车,7.85,-2.363,地方国资改革;融资融券;转融券标的,,
600861,北京城乡,16.01,-2.378,地方国资改革;北京国资改革,,
600792,云煤能源,5.65,-2.418,地方国资改革;稀缺资源;低碳经济(CDM,,
000692,惠天热电,6.45,-2.421,地方国资改革;供气;振兴东北,,
600985,雷鸣科化,14.81,-2.437,地方国资改革;高岭土概念,,
600789,鲁抗医药,9.94,-2.453,地方国资改革;医疗改革;登革热,,
000022,深赤湾A,18.75,-2.496,央企国资改革;融资融券;前海新区,,
300106,西部牧业,16.61,-2.524,地方国资改革;二胎概念;牛羊肉,,
000713,丰乐种业,11.55,-2.532,地方国资改革;早籼稻;小麦种子,,
600995,文山电力,14.11,-2.555,地方国资改革;电力改革;西电东送,,
000927,一汽夏利,6.45,-2.568,央企国资改革;央企整合;央企控股,,
600661,新南洋,27.97,-2.578,央企国资改革;融资融券;高校,,
000597,东北制药,10.20,-2.579,地方国资改革;医疗改革;振兴东北,,
000014,沙河股份,20.70,-2.588,地方国资改革;深圳国资改革;国资整合,,
600455,博通股份,57.81,-2.595,地方国资改革;职业教育,,
600328,兰太实业,13.47,-2.603,央企国资改革;稀缺资源;钾离子电池,,
603977,国泰集团,25.07,-2.603,地方国资改革;新股与次新股,,
600156,华升股份,11.21,-2.606,地方国资改革;湖南国资改革;土地增值,,
600081,东风科技,15.66,-2.612,央企国资改革;央企整合;纳米,,
000019,深深宝A,16.31,-2.627,地方国资改革;深圳国资改革;并购重组,,
